MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE?,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2014-2018 COUNCIL? (YES / NO),"IS THIS OFFICE SUBJECT TO A RECOUNT
(YES / NO)"
Brantford C,Davis,Kevin,MAYOR,"12,867","24,308",ELECTED,NO,NO
Brantford C,Vanderstelt,Jan,LOCAL COUNCILLOR,"1,873","6,755",ELECTED,NO,NO
Brantford C,Weaver,Rick,LOCAL COUNCILLOR,"2,054","6,755",ELECTED,YES,NO
Brantford C,Sless,John,LOCAL COUNCILLOR,"2,933","10,522",ELECTED,YES,NO
Brantford C,Utley,John,LOCAL COUNCILLOR,"2,952","10,522",ELECTED,YES,NO
Brantford C,Martin,Greg,LOCAL COUNCILLOR,"3,477","11,267",ELECTED,YES,NO
Brantford C,McCreary,Dan,LOCAL COUNCILLOR,"4,214","11,267",ELECTED,YES,NO
Brantford C,Antoski,Cheryl,LOCAL COUNCILLOR,"3,601","8,408",ELECTED,YES,NO
Brantford C,Carpenter,Richard,LOCAL COUNCILLOR,"3,842","8,408",ELECTED,YES,NO
Brantford C,Van Tilborg,Brian,LOCAL COUNCILLOR,"1,471","5,600",ELECTED,YES,NO
Brantford C,Wall,Joshua,LOCAL COUNCILLOR,954,"5,600",ELECTED,NO,NO
Brethour Tp,Wight,David,REEVE, -   , -   ,ACCLAIMED,YES,NO
Brethour Tp,Wilkinson,Judy,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Brethour Tp,Goddard,Tom,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Brethour Tp,Bellringer,Donna,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Brethour Tp,Corbien,Brandon,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Brighton M,Ostrander,Brian,MAYOR,"2,690","5,247",ELECTED,YES,NO
Brighton M,Vink,Laura,DEPUTY MAYOR,"3,419","5,141",ELECTED,YES,NO
Brighton M,Tadman,Mary,LOCAL COUNCILLOR,"2,853","22,301",ELECTED,YES,NO
Brighton M,Rowley,Emily,LOCAL COUNCILLOR,"2,770","22,301",ELECTED,NO,NO
Brighton M,Anderson,Ron,LOCAL COUNCILLOR,"2,748","22,301",ELECTED,NO,NO
Brighton M,Bateman,Mark,LOCAL COUNCILLOR,"2,679","22,301",ELECTED,NO,NO
Brighton M,LeBlanc,Doug,LOCAL COUNCILLOR,"2,574","22,301",ELECTED,NO,NO
Brock Tp,BATH-HADDEN,Debbie,Mayor,"2,273","4,420",ELECTED,NO,NO
Brock Tp,SMITH,Ted,REGIONAL COUNCILLOR,"1,851","4,338",ELECTED,YES,NO
Brock Tp,JUBB,Michael,LOCAL COUNCILLOR,542,869,ELECTED,NO,NO
Brock Tp,DOBLE,Claire,LOCAL COUNCILLOR,436,735,ELECTED,NO,NO
Brock Tp,SCHUMMER,Walter,LOCAL COUNCILLOR,670,225,ELECTED,NO,NO
Brock Tp,PETTINGILL,Cria,LOCAL COUNCILLOR,373,872,ELECTED,NO,NO
Brock Tp,CAMPBELL,Lynn,LOCAL COUNCILLOR,532,"1,057",ELECTED,YES,NO
Brockton M,Peabody,Chris,MAYOR,"2,352","3,711",ELECTED,YES,NO
Brockton M,Gieruszak,Dan,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
Brockton M,Adams,Steve,LOCAL COUNCILLOR,"2,625","15,116",ELECTED,YES,NO
Brockton M,Hutcheon,Kym,LOCAL COUNCILLOR,"2,218","15,116",ELECTED,NO,NO
Brockton M,Lang,James,LOCAL COUNCILLOR,"2,660","15,116",ELECTED,NO,NO
Brockton M,Leifso,Dean,LOCAL COUNCILLOR,"2,488","15,116",ELECTED,YES,NO
Brockton M,Oberle,Chris,LOCAL COUNCILLOR,"2,381","15,116",ELECTED,YES,NO
Brockville C,Baker,Jason,MAYOR,"3,033","7,689",ELECTED,YES,NO
Brockville C,Wren,Matt,LOCAL COUNCILLOR,"4,432","50,119",ELECTED,NO,NO
Brockville C,Wales,Cameron,LOCAL COUNCILLOR,"4,119","50,119",ELECTED,NO,NO
Brockville C,Kalivas,Mike,LOCAL COUNCILLOR,"4,054","50,119",ELECTED,YES,NO
Brockville C,Fullarton,Jane,LOCAL COUNCILLOR,"3,806","50,119",ELECTED,YES,NO
Brockville C,Journal,Larry,LOCAL COUNCILLOR,"3,126","50,119",ELECTED,NO,NO
Brockville C,Earle,Jeffrey,LOCAL COUNCILLOR,"3,043","50,119",ELECTED,YES,NO
Brockville C,Lavergne,Nathalie,LOCAL COUNCILLOR,"2,993","50,119",ELECTED,NO,NO
Brockville C,Bursey,Leigh,LOCAL COUNCILLOR,"2,843","50,119",ELECTED,YES,NO
Brooke-Alvinston M,Ferguson,David,MAYOR,151,,ELECTED,NO,NO
Brooke-Alvinston M,Nemcek,Frank,LOCAL COUNCILLOR,744,,ELECTED,YES,NO
Brooke-Alvinston M,Armstrong,Jamie,LOCAL COUNCILLOR,648,,ELECTED,NO,NO
Brooke-Alvinston M,Douglas,Jeannette,LOCAL COUNCILLOR,641,,ELECTED,YES,NO
Brooke-Alvinston M,Deans,Wayne,LOCAL COUNCILLOR,590,,ELECTED,YES,NO
Bruce Co,Hammell,Steve,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Bruce Co,Peabody,Chris,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Bruce Co,Twolan,Mitch,WARDEN,,,,YES,NO
Bruce Co,Eadie,Anne,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Bruce Co,McIver,Milt,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Bruce Co,Charbonneau,Luke,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Bruce Co,Buckle,Robert J.,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Bruce Co,Jackson,Janice,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Bruce Mines T,PATTERI,LORY,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Bruce Mines T,BOGART,JERRY,LOCAL COUNCILLOR,81,219,ELECTED,NO,NO
Bruce Mines T,MORIN,MARIOLA,LOCAL COUNCILLOR,162,219,ELECTED,YES,NO
Bruce Mines T,O'HARA,RICHARD,LOCAL COUNCILLOR,127,219,ELECTED,YES,NO
Bruce Mines T,ORTO,JODY,LOCAL COUNCILLOR,180,219,ELECTED,YES,NO
"Brudenell, Lyndoch and Raglan Tp",Keller,Sheldon,Mayor,694,"1,047",ELECTED,YES,NO
"Brudenell, Lyndoch and Raglan Tp",Kauffeldt,Iris,LOCAL COUNCILLOR,310,996,ELECTED,YES,NO
"Brudenell, Lyndoch and Raglan Tp",Rutledge,John Henry,LOCAL COUNCILLOR,318,996,ELECTED,YES,NO
"Brudenell, Lyndoch and Raglan Tp",Budarick,Andrea,LOCAL COUNCILLOR,290,930,ELECTED,NO,NO
"Brudenell, Lyndoch and Raglan Tp",Lidtkie,Trevor,LOCAL COUNCILLOR,193,930,ELECTED,NO,NO
Burk's Falls V,Still,Cathy,REEVE, -   , -   ,ACCLAIMED,YES,NO
Burk's Falls V,Hodgson,Lewis,LOCAL COUNCILLOR,117,206,ELECTED,YES,NO
Burk's Falls V,Morrison,Lisa,LOCAL COUNCILLOR,118,206,ELECTED,YES,NO
Burk's Falls V,Osborne,Jarv,LOCAL COUNCILLOR,164,206,ELECTED,YES,NO
Burk's Falls V,Smith,Rex,LOCAL COUNCILLOR,104,206,ELECTED,YES,NO
Burlington C,WARD,MARIANNE MEED,MAYOR,"23,360","50,733",ELECTED,YES,NO
Burlington C,GALBRAITH,KELVIN,LOCAL AND REGIONAL COUNCILLOR,"1,880","8,803",ELECTED,NO,NO
Burlington C,KEARNS,LISA,LOCAL AND REGIONAL COUNCILLOR,"3,195","8,034",ELECTED,NO,NO
Burlington C,NISAN,RORY,LOCAL AND REGIONAL COUNCILLOR,"3,467","6,415",ELECTED,NO,NO
Burlington C,STOLTE,SHAWNA,LOCAL AND REGIONAL COUNCILLOR,"5,828","10,452",ELECTED,NO,NO
Burlington C,SHARMAN,PAUL,LOCAL AND REGIONAL COUNCILLOR,"2,840","8,355",ELECTED,YES,NO
Burlington C,BENTIVEGNA,ANGELO,LOCAL AND REGIONAL COUNCILLOR,"2,747","7,688",ELECTED,NO,NO
Burpee and Mills Tp,Noland,Ken,REEVE, -   , -   ,ACCLAIMED,YES,NO
Burpee and Mills Tp,Anslie,Martin L.,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Burpee and Mills Tp,Bailey,Wayne Llyod,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Burpee and Mills Tp,Hayden,Arthur F.,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Burpee and Mills Tp,Palonen,Pentti,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Caledon T,THOMPSON,ALLAN,MAYOR,"7,392","16,293",ELECTED,YES,NO
Caledon T,KIERNAN,LYNN,LOCAL COUNCILLOR,945,"2,772",ELECTED,NO,NO
Caledon T,SINCLAIR,IAN,LOCAL AND REGIONAL COUNCILLOR,"1,219","2,813",ELECTED,NO,NO
Caledon T,EARLY,CHRISTINA,LOCAL COUNCILLOR,"1,796","4,018",ELECTED,NO,NO
Caledon T,DOWNEY,JOHANNA,LOCAL AND REGIONAL COUNCILLOR,"3,013","3,930",ELECTED,YES,NO
Caledon T,DEBOER,NICK,LOCAL COUNCILLOR,"2,319","4,127",ELECTED,YES,NO
Caledon T,INNIS,JENNIFER,LOCAL AND REGIONAL COUNCILLOR,"2,877","4,200",ELECTED,YES,NO
Caledon T,ROSA,TONY,LOCAL COUNCILLOR,"2,066","5,068",ELECTED,NO,NO
Caledon T,GROVES,ANNETTE,LOCAL AND REGIONAL COUNCILLOR,"3,150","5,180",ELECTED,YES,NO
Callander M,ALKINS,LINDA,LOCAL COUNCILLOR,678,"3,071",ELECTED,NO,NO
Callander M,CARR,L. JORDY,LOCAL COUNCILLOR,520,"3,071",ELECTED,NO,NO
Callander M,NOON,ROBB,LOCAL COUNCILLOR,594,"3,071",ELECTED,YES,NO
Callander M,TURGEON,MAURICE,LOCAL COUNCILLOR,616,"3,071",ELECTED,YES,NO
Callander M,LAVIGNE,HECTOR,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Calvin Tp,PENNELL,IAN,MAYOR,163,255,ELECTED,YES,NO
Calvin Tp,CROSS,SANDY P.,LOCAL COUNCILLOR,177,802,ELECTED,YES,NO
Calvin Tp,GRANT,DEAN,LOCAL COUNCILLOR,115,802,ELECTED,NO,NO
Calvin Tp,MAXWELL,DAN,LOCAL COUNCILLOR,172,802,ELECTED,NO,NO
Calvin Tp,OLMSTEAD,HEATHER,LOCAL COUNCILLOR,129,802,ELECTED,NO,NO
Cambridge C,McGarry,Kathryn,MAYOR,"13,404","28,089",ELECTED,NO,NO
Cambridge C,Reid,Donna,LOCAL COUNCILLOR,"1,040","3,114",ELECTED,YES,NO
Cambridge C,Devine,Mike,LOCAL COUNCILLOR,"2,404","4,154",ELECTED,YES,NO
Cambridge C,Mann,Mike,LOCAL COUNCILLOR,"1,639","3,105",ELECTED,YES,NO
Cambridge C,Liggett,Jan,LOCAL COUNCILLOR,"1,685","2,822",ELECTED,YES,NO
Cambridge C,Wolf,Pam,LOCAL COUNCILLOR,"2,285","3,993",ELECTED,YES,NO
Cambridge C,Adshade,Shannon,LOCAL COUNCILLOR,"1,516","3,832",ELECTED,YES,NO
Cambridge C,Monteiro,Frank,LOCAL COUNCILLOR,"1,016","2,156",ELECTED,YES,NO
Cambridge C,Ermeta,Nicholas,LOCAL COUNCILLOR,"2,413","1,102",ELECTED,YES,NO
Carleton Place T,BLACK,DOUGLAS,MAYOR,"2,578","4,260",ELECTED,YES,NO
Carleton Place T,REDMOND,SEAN,DEPUTY MAYOR,"1,605","4,209",ELECTED,YES,NO
Carleton Place T,FRITZ,THERESA M.,LOCAL COUNCILLOR,"2,440","18,700",ELECTED,YES,NO
Carleton Place T,TENNANT,ANDREW ROY,LOCAL COUNCILLOR,"1,991","18,700",ELECTED,YES,NO
Carleton Place T,RANDELL,EDWARD (TOBY),LOCAL COUNCILLOR,"1,799","18,700",ELECTED,YES,NO
Carleton Place T,SECCASPINA,LINDA,LOCAL COUNCILLOR,"1,829","18,700",ELECTED,YES,NO
Carleton Place T,ATKINSON,JEFF,LOCAL COUNCILLOR,"1,687","18,700",ELECTED,YES,NO
Carling Tp,Konoval,Mike,Mayor, -   , -   ,ACCLAIMED,YES,NO
Carling Tp,Murphy,Susan,LOCAL COUNCILLOR,705,"3,485",ELECTED,YES,NO
Carling Tp,Gilbert,Terry,LOCAL COUNCILLOR,611,"3,485",ELECTED,YES,NO
Carling Tp,Crocker,Debbie,LOCAL COUNCILLOR,606,"3,485",ELECTED,NO,NO
Carling Tp,Crookshank,Steve,LOCAL COUNCILLOR,603,"3,485",ELECTED,YES,NO
Carlow-Mayo Tp,ADAMS,BONNIE,REEVE, -   , -   ,ACCLAIMED,YES,NO
Carlow-Mayo Tp,HUGHEY,DAN,LOCAL COUNCILLOR,219,556,ELECTED,YES,NO
Carlow-Mayo Tp,CANNON,MIKE,LOCAL COUNCILLOR,191,556,ELECTED,NO,NO
Carlow-Mayo Tp,DILLABOUGH,RICHARD,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Carlow-Mayo Tp,STEWART,ELDON,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Casey Tp,Labonte,Guy,REEVE, -   , -   ,ACCLAIMED,YES,NO
Casey Tp,Robillard,Marc,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Casey Tp,Fortin,Jacques,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Casey Tp,Little,Janet,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Casey Tp,Boucher,Suzanne,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Casselman V,Lafleur,Daniel,Mayor, -   , -   ,ACCLAIMED,YES,NO
Casselman V,Groulx,Paul,LOCAL COUNCILLOR,"1,304","5,546",ELECTED,NO,NO
Casselman V,Sirois,Joanne,LOCAL COUNCILLOR,"1,125","5,546",ELECTED,NO,NO
Casselman V,Laplante,Mario,LOCAL COUNCILLOR,"1,035","5,546",ELECTED,NO,NO
Casselman V,Leblanc,Francyn,LOCAL COUNCILLOR,803,"5,546",ELECTED,NO,NO
Cavan Monaghan Tp,McFadden,Scott,MAYOR,"2,109","3,352",ELECTED,YES,NO
Cavan Monaghan Tp,Graham,Matthew,DEPUTY MAYOR,"2,198","3,269",ELECTED,NO,NO
Cavan Monaghan Tp,Moore,Cathy,LOCAL COUNCILLOR,"1,283","2,294",ELECTED,NO,NO
Cavan Monaghan Tp,Huntley,Ryan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Cavan Monaghan Tp,Belch,Tim,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Central Elgin M,Martyn,Sally,MAYOR,"2,046","4,287",ELECTED,YES,NO
Central Elgin M,Marks,Tom,DEPUTY MAYOR,"1,546","4,163",ELECTED,NO,YES
Central Elgin M,Row,Colleen,LOCAL COUNCILLOR,722,"1,119",ELECTED,NO,NO
Central Elgin M,Crevits,Dennis,LOCAL COUNCILLOR,631,"1,013",ELECTED,YES,NO
Central Elgin M,Cook,Karen,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Central Elgin M,Fehr,Bill,LOCAL COUNCILLOR,466,800,ELECTED,NO,NO
Central Elgin M,Roberts,Fiona,LOCAL COUNCILLOR,469,736,ELECTED,YES,NO
Central Frontenac Tp,Smith,Frances,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Central Frontenac Tp,Kelsey,Cindy,LOCAL COUNCILLOR,410,,ELECTED,YES,NO
Central Frontenac Tp,Heese,Victor,LOCAL COUNCILLOR,267,,ELECTED,YES,NO
Central Frontenac Tp,MacDonald,William,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Central Frontenac Tp,Whan,Sherry,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Central Frontenac Tp,Dewey,Tom,LOCAL COUNCILLOR,404,,ELECTED,YES,NO
Central Frontenac Tp,Burke,Elwin H.,LOCAL COUNCILLOR,190,,ELECTED,NO,NO
Central Frontenac Tp,Gowdy,Nicki,LOCAL COUNCILLOR,362,,ELECTED,NO,NO
Central Frontenac Tp,Cameron,Brent,LOCAL COUNCILLOR,328,,ELECTED,YES,NO
Central Huron M,GINN,JIM,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Central Huron M,JEWITT,DAVID,DEPUTY MAYOR,"1,349","2,246",ELECTED ,YES,NO
Central Huron M,ANDERSON,MARG,LOCAL COUNCILLOR,"1,111","1,424",ELECTED,YES,NO
Central Huron M,WESTERHOUT,ALEX,LOCAL COUNCILLOR,966,"1,424",ELECTED,YES,NO
Central Huron M,COLQUHOUN,DANNY,LOCAL COUNCILLOR,836,"1,424",ELECTED,YES,NO
Central Huron M,LOBB,ALISON,LOCAL COUNCILLOR,600,822,ELECTED,YES,NO
Central Huron M,ROBINSON,ADAM,LOCAL COUNCILLOR,510,822,ELECTED,YES,NO
Central Huron M,RUSSO,MICHAEL,LOCAL COUNCILLOR,477,822,ELECTED,NO,NO
Central Manitoulin M,STEPHENS,RICHARD,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Central Manitoulin M,JOHNSTON,ANGELA,LOCAL COUNCILLOR,180,472,ELECTED,NO,YES
Central Manitoulin M,STEPHENS,DEREK,LOCAL COUNCILLOR,180,472,ELECTED,YES,YES
Central Manitoulin M,SCOTT,WILLIAM DALE,LOCAL COUNCILLOR,411,"1,058",ELECTED,YES,NO
Central Manitoulin M,SHAFFER,STEVE,LOCAL COUNCILLOR,324,"1,058",ELECTED,NO,YES
Central Manitoulin M,FARQUHAR,LINDA,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Centre Hastings M,Deline,Tom,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Centre Hastings M,Sandford,Eric,DEPUTY MAYOR,"1,080","1,763",ELECTED,YES,NO
Centre Hastings M,Kerby,Mike,LOCAL COUNCILLOR,"1,048","4,436",ELECTED,YES,NO
Centre Hastings M,Bonter,Jim,LOCAL COUNCILLOR,849,"4,436",ELECTED,NO,NO
Centre Hastings M,McLaughlin,Kevin,LOCAL COUNCILLOR,844,"4,436",ELECTED,NO,NO
Centre Wellington Tp,Linton,Kelly,MAYOR,"3,232","8,522",ELECTED,YES,NO
Centre Wellington Tp,Macrae,Ian,LOCAL COUNCILLOR,"1,206","2,123",ELECTED,NO,NO
Centre Wellington Tp,McElwain,Kirk,LOCAL COUNCILLOR,487,985,ELECTED,YES,NO
Centre Wellington Tp,Foster,Bob,LOCAL COUNCILLOR,968,"1,610",ELECTED,NO,NO
Centre Wellington Tp,Dunsmore,Neil,LOCAL COUNCILLOR,834,"1,641",ELECTED,NO,NO
Centre Wellington Tp,Kitras,Stephen,LOCAL COUNCILLOR,746,"1,350",ELECTED,YES,NO
Centre Wellington Tp,VanLeeuwen,Steven,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Chamberlain Tp,Stewart,Kerry,REEVE, -   , -   ,ACCLAIMED,YES,NO
Chamberlain Tp,Hager,Cary,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Chamberlain Tp,Guenette,Gerard,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Chamberlain Tp,Osborne,Kelly,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Chamberlain Tp,Schenk,Bebra Elaine,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Champlain Tp,RIOPEL,Normand,Mayor,"1,676","4,626",ELECTED,YES,NO
Champlain Tp,BARTON,Peter,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Champlain Tp,CARKNER,Troy,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Champlain Tp,LACELLE,Jacques,LOCAL COUNCILLOR,574,"1,713",ELECTED,YES,NO
Champlain Tp,ROY,Andre,LOCAL COUNCILLOR,637,"1,713",ELECTED,NO,NO
Champlain Tp,LALONDE,Michel,LOCAL COUNCILLOR,471,"1,378",ELECTED,NO,NO
Champlain Tp,TITTLEY,Violaine,LOCAL COUNCILLOR,460,"1,378",ELECTED,NO,NO
Champlain Tp,BIGELOW,Sarah,LOCAL COUNCILLOR,960,"3,133",ELECTED,NO,NO
Champlain Tp,MINER,Gerard,LOCAL COUNCILLOR,817,"3,133",ELECTED,YES,NO
Chapleau Tp,Levesque,Michael,MAYOR,548,"1,021",ELECTED,YES,NO
Chapleau Tp,Smith,Rick,LOCAL COUNCILLOR,681,"3,325",ELECTED,YES,NO
Chapleau Tp,Bernier,Gerard,LOCAL COUNCILLOR,642,"3,325",ELECTED,YES,NO
Chapleau Tp,Schuurman,Nicolle,LOCAL COUNCILLOR,548,"3,325",ELECTED,NO,NO
Chapleau Tp,Bernier,Lisi,LOCAL COUNCILLOR,496,"3,325",ELECTED,NO,NO
Chapple Tp,Race,Rilla,Reeve,86,201,ELECTED,YES,NO
Chapple Tp,Gibson,James,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Chapple Tp,Wilson,Ken,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Chapple Tp,Neilson,Rick,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Chapple Tp,Schram,Philip,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Charlton-Dack M,Bond,Merrill,REEVE, -   , -   ,ACCLAIMED,YES,NO
Charlton-Dack M,Veerman,Debbie,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Charlton-Dack M,Yantha,Clem,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Charlton-Dack M,Huff,Jim,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Charlton-Dack M,Parkin,Sandra Dawn,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Chatham-Kent M,Authier,Mark,LOCAL COUNCILLOR,"1,991","5,063",ELECTED,YES,NO
Chatham-Kent M,Harrigan,Melissa,LOCAL COUNCILLOR,"1,682","5,063",ELECTED,NO,NO
Chatham-Kent M,Thompson,Trevor,LOCAL COUNCILLOR,"3,723","14,740",ELECTED,YES,NO
Chatham-Kent M,Ceccacci,Anthony,LOCAL COUNCILLOR,"1,967","14,740",ELECTED,NO,NO
Chatham-Kent M,Latimer,Mary Clare,LOCAL COUNCILLOR,"1,910","14,740",ELECTED,NO,NO
Chatham-Kent M,Pinsonneault,Steve,LOCAL COUNCILLOR,"2,541","6,436",ELECTED,YES,NO
Chatham-Kent M,Wright,John,LOCAL COUNCILLOR,"2,023","6,436",ELECTED,NO,NO
Chatham-Kent M,Faas,Joe,LOCAL COUNCILLOR,"1,528","7,893",ELECTED,YES,NO
Chatham-Kent M,McGrail,Jamie,LOCAL COUNCILLOR,"1,506","7,893",ELECTED,NO,NO
Chatham-Kent M,McGregor,Carmen,LOCAL COUNCILLOR,"1,866","5,095",ELECTED,YES,NO
Chatham-Kent M,Hall,Aaron,LOCAL COUNCILLOR,"1,673","5,095",ELECTED,NO,NO
Chatham-Kent M,Crew,Marjorie,LOCAL COUNCILLOR,"7,589","69,821",ELECTED,NO,NO
Chatham-Kent M,Bondy,Michael,LOCAL COUNCILLOR,"7,552","69,821",ELECTED,YES,NO
Chatham-Kent M,McGregor,Brock,LOCAL COUNCILLOR,"7,267","69,821",ELECTED,YES,NO
Chatham-Kent M,Sulman,Doug,LOCAL COUNCILLOR,"6,565","69,821",ELECTED,YES,NO
Chatham-Kent M,Kirkwood-Whyte,Karen,LOCAL COUNCILLOR,"5,893","69,821",ELECTED,NO,NO
Chatham-Kent M,Finn,Amy,LOCAL COUNCILLOR,"5,753","69,821",ELECTED,NO,NO
Chatham-Kent M,Canniff,Darrin,MAYOR,"19,316","34,489",ELECTED,YES,NO
Chatsworth Tp,Mackey,Scott,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Chatsworth Tp,Gamble,Brian,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
Chatsworth Tp,Rae,Diana,LOCAL COUNCILLOR,"1,146","5,586",ELECTED,NO,NO
Chatsworth Tp,Greig,Shawn,LOCAL COUNCILLOR,"1,478","5,586",ELECTED,YES,NO
Chatsworth Tp,Thompson,Elizabeth,LOCAL COUNCILLOR,"1,345","5,586",ELECTED,YES,NO
Chisholm Tp,Jobin,Leo,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Chisholm Tp,Ross,Walter,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Chisholm Tp,Scarfone,Nunzio,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Chisholm Tp,Gauthier,James,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Chisholm Tp,Ward,Heather,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Clarence-Rockland C,Desjardins,Guy,MAYOR,"6,071","7,691",ELECTED,YES,NO
Clarence-Rockland C,Cardarelli,Samuel,LOCAL COUNCILLOR,612,"1,296",ELECTED,NO,NO
Clarence-Rockland C,Zanth,Mario,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Clarence-Rockland C,Grimard,Carl,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Clarence-Rockland C,Bouchard,Don,LOCAL COUNCILLOR,"1,020","1,438",ELECTED,NO,NO
Clarence-Rockland C,Lalonde,Andre,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Clarence-Rockland C,Simard,Christian,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Clarence-Rockland C,Levert,Michel,LOCAL COUNCILLOR,540,821,ELECTED,YES,NO
Clarence-Rockland C,Choiniere,Diane,LOCAL COUNCILLOR,409,751,ELECTED,YES,NO
Clarington M,Foster,Adrian,Mayor,"12,507","18,376",ELECTED,YES,NO
Clarington M,Neal,Joe,REGIONAL COUNCILLOR,"5,395","10,445",ELECTED,YES,NO
Clarington M,Anderson,Granville,REGIONAL COUNCILLOR,"2,675","7,842",ELECTED,NO,NO
Clarington M,Jones,Janice,LOCAL COUNCILLOR,"2,857","5,402",ELECTED,NO,NO
Clarington M,Hooper,Ronald,LOCAL COUNCILLOR,"3,794","4,977",ELECTED,YES,NO
Clarington M,Traill,Corinna,LOCAL COUNCILLOR,"1,857","3,906",ELECTED,YES,NO
Clarington M,Zwart,Margaret,LOCAL COUNCILLOR,"1,249","3,835",ELECTED,NO,NO
Clearview Tp,Measures,Doug,MAYOR,"2,565","4,532",ELECTED,YES,NO
Clearview Tp,Burton,Barry,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
Clearview Tp,Christie,Ed,LOCAL COUNCILLOR,478,960,ELECTED,NO,NO
Clearview Tp,McKechnie,Doug,LOCAL COUNCILLOR,526,620,ELECTED,NO,NO
Clearview Tp,Broderick,John,LOCAL COUNCILLOR,408,634,ELECTED,NO,NO
Clearview Tp,Walker,Robert,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
